Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Insulin Load,Deep Sleep,Active Calories
2018-09-06,Snacks,60,3,0.5,2.5,0.3,0,0,60,5,5,0,3,0,0,8,6,1.68, ,
2018-09-07,Breakfast,287.2,11.2,4.9,0.7,1.9,109.7,84.5,344,13.9,0,14.4,16.1,5.2,0,27.2,2.6,22.916,,
2018-09-07,Lunch,923.1,35,16.5,2.5,0.3,40,400,622.5,140.6,5,82,12.9,1.9,1.9,9.9,22,142.824,,
2018-09-07,Dinner,764,38.5,12.7,0,0,105.7,788.6,0,52.3,0,6.3,31.5,0,0,0,0,69.94,49,210
2018-09-08,Breakfast,395.3,10.9,4.8,0.7,1.9,108.2,84.5,861.5,48,0,42.9,17,7.1,1.9,25.1,2.6,57.52,,
2018-09-08,Lunch,610,24.6,12.2,0,0,33,300,90,78,0,42,8,0,0,8,12,82.48,,
2018-09-08,Dinner,659,24.6,4.8,4.1,0,295,1851,861.4,63.2,2.9,4.1,42.8,192.7,26.6,16.2,36.5,84.268,0,0
2018-09-08,Snacks,250,3.6,1.5,0,0,0,161,257,39,11.2,29,23,240,216,10,34,40.68, ,
2018-09-09,Breakfast,435.9,12,7.2,0.1,0,48,93.1,429.9,66.9,4.4,53.7,8.7,11.6,248.4,27.1,5,67.372,,
2018-09-09,Lunch,540,24,12,0,0,30,300,0,75,0,39,6,0,0,0,12,78.36,,
2018-09-09,Dinner,336.7,18.1,6.9,0.7,4.9,55,677.1,353.1,36,6,9,13,29,31,21,11,37.28,43,291
2018-09-09,Snacks,310,23,12,0,0,65,45,0,22,1,20,5,10,0,10,8,23.8, ,
2018-09-10,Breakfast,406.7,12.3,7.4,0,0,51,91.1,303.6,43.9,1.6,37.2,9.6,9.3,90.3,32.5,1.8,47.676,,
2018-09-10,Lunch,357.8,5.2,1.5,0.1,0,0,106.7,442.4,60.8,17.5,35.1,22.9,27.5,135.5,8.2,42.9,56.124,,
2018-09-10,Dinner,366.4,23.5,0.1,0.2,0,0,575.8,1118.8,10.8,7.3,1.8,30.3,427.3,159.4,28.5,39.7,20.468,6,367
2018-09-10,Snacks,683.1,24,12,0,0,30,300,562.5,110.6,0,69,7.9,1.9,1.9,1.9,12,115.024, ,
2018-09-11,Breakfast,425.9,17.4,11,0.1,0,75,123.1,429.9,65.9,4.4,52.7,8.7,15.6,256.4,19.1,5,66.372,,
2018-09-11,Dinner,543,28.2,0.8,0.8,3.2,0,950,1832.3,42.6,7.7,3.4,31.5,377.7,67.5,26.3,43.1,52.54,11,348
2018-09-11,Snacks,1080,48,24,0,0,60,600,0,150,0,78,12,0,0,0,24,156.72, ,
2018-09-12,Breakfast,383.1,14,9,0,0,60,105,607.5,59.6,0,51,7.9,11.9,5.9,16.9,0,64.024,,
2018-09-12,Lunch,272.8,5,1.5,0,0,0,105,257,38.5,15.1,18.3,22,25.5,0,6,40.2,35.72,,
2018-09-12,Dinner,386.6,13.2,3.1,2.5,6.6,51,672.2,1674.5,43.8,9.4,4.6,23.9,100.4,298.1,10.8,19.4,47.784,11,253
2018-09-13,Breakfast,810,41,22,0,0,85,445,135,103,0,55,11,6,12,0,16,109.16,,
2018-09-13,Lunch,143.1,0,0,0,0,0,0,562.5,35.6,0,30,1.9,1.9,1.9,1.9,0,36.664,,
2018-09-13,Dinner,500.9,20.7,4.8,0.7,1.6,86.3,389.9,939.7,33.6,13.9,7.7,49.9,95.5,302.7,10,10,47.644,20,0
2018-09-13,Snacks,210,11,7,0,0,45,90,0,23,0,20,5,8,0,15,0,25.8, ,
2018-09-14,Breakfast,515.9,26.4,17,0.1,0,120,168.1,564.9,68.9,4.4,55.7,11.7,21.6,268.4,19.1,5,71.052,,
2018-09-14,Lunch,317.1,4.2,1.8,0.2,0.4,0,108.1,780.9,57.7,13,45.6,22.6,67.5,189.2,9.4,32.8,57.356,,
2018-09-14,Dinner,898,20.6,6.2,0,10,89,1044,1508,113,0,3,54,236,78,8,48,143.24,53,388
